codice,descrizione,nd,nd1
461407,"Mediatori in macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche",,
4615,"Intermediari del commercio di mobili, articoli per la casa e ferramenta",,
46150,"Intermediari del commercio di mobili, articoli per la casa e ferramenta",,
461501,"Agenti e rappresentanti di mobili in legno, metallo e materie plastiche",,
461502,Agenti e rappresentanti di articoli di ferramenta e di bricolage,,
461503,"Agenti e rappresentanti di articoli casalinghi, porcellane, articoli in vetro eccetera",,
461504,"Agenti e rappresentanti di vernici, carte da parati, stucchi e cornici decorativi",,
461505,"Agenti e rappresentanti di mobili e oggetti di arredamento per la casa in canna, vimini, giunco, sughero, paglia; scope, spazzole, cesti e simili",,
461506,"Procacciatori d'affari di mobili, articoli per la casa e ferramenta",,
461507,"Mediatori in mobili, articoli per la casa e ferramenta",,
4616,"Intermediari del commercio di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle",,
46160,"Intermediari del commercio di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle",,
461601,Agenti e rappresentanti di vestiario ed accessori di abbigliamento,,
461602,Agenti e rappresentanti di pellicce,,
461603,Agenti e rappresentanti di tessuti per abbigliamento ed arredamento (incluse merceria e passamaneria),,
461604,"Agenti e rappresentanti di camicie, biancheria e maglieria intima",,
461605,Agenti e rappresentanti di calzature ed accessori,,
461606,"Agenti e rappresentanti di pelletteria, valige ed articoli da viaggio",,
461607,"Agenti e rappresentanti di articoli tessili per la casa, tappeti, stuoie e materassi",,
461608,"Procacciatori d'affari di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle",,
461609,"Mediatori in prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle",,
4617,"Intermediari del commercio di prodotti alimentari, bevande e tabacco",,
46170,"Intermediari del commercio di prodotti alimentari, bevande e tabacco",,
461701,"Agenti e rappresentanti di prodotti ortofrutticoli freschi, congelati e surgelati",,
461702,"Agenti e rappresentanti di carni fresche, congelate, surgelate, conservate e secche; salumi",,
461703,"Agenti e rappresentanti di latte, burro e formaggi",,
461704,"Agenti e rappresentanti di oli e grassi alimentari: olio d'oliva e di semi, margarina ed altri prodotti similari",,
461705,Agenti e rappresentanti di bevande e prodotti similari,,
461706,"Agenti e rappresentanti di prodotti ittici freschi, congelati, surgelati e conservati e secchi",,
461707,Agenti e rappresentanti di altri prodotti alimentari (incluse le uova e gli alimenti per gli animali domestici); tabacco,,
461708,"Procacciatori d'affari di prodotti alimentari, bevande e tabacco",,
461709,"Mediatori in prodotti alimentari, bevande e tabacco",,
4618,Intermediari del commercio specializzato in altri prodotti,,
46181,"Intermediari del commercio di prodotti di carta, cancelleria, libri",,
461811,Agenti e rappresentanti di carta e cartone (esclusi gli imballaggi); articoli di cartoleria e cancelleria,,
461812,Agenti e rappresentanti di libri e altre pubblicazioni (incluso i relativi abbonamenti),,
461813,"Procacciatori d'affari di prodotti di carta, cancelleria, libri",,
461814,"Mediatori in prodotti di carta, cancelleria, libri",,
46182,"Intermediari del commercio di elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici",,
461821,"Agenti e rappresentanti di elettronica di consumo audio e video, materiale elettrico per uso domestico",,
461822,Agenti e rappresentanti di apparecchi elettrodomestici,,
461823,"Procacciatori d'affari di elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici",,
461824,"Mediatori in elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici",,
46183,Intermediari del commercio di prodotti farmaceutici e di cosmetici,,
461831,Agenti e rappresentanti di prodotti farmaceutici; prodotti di erboristeria per uso medico,,
461832,"Agenti e rappresentanti di prodotti sanitari ed apparecchi medicali, chirurgici e ortopedici; apparecchi per centri di estetica",,
461833,Agenti e rappresentanti di prodotti di profumeria e di cosmetica (inclusi articoli per parrucchieri); prodotti di erboristeria per uso cosmetico,,
461834,Procacciatori d'affari di prodotti farmaceutici e di cosmetici,,
461835,Mediatori in prodotti farmaceutici e cosmetici,,
46189,"Intermediari del commercio di attrezzature sportive, biciclette e altri prodotti nca",,
461891,Agenti e rappresentanti di attrezzature sportive; biciclette,,
461892,"Agenti e rappresentanti di orologi, oggetti e semilavorati per gioielleria e oreficeria",,
461893,"Agenti e rappresentanti di articoli fotografici, ottici e prodotti simili; strumenti scientifici e per laboratori di analisi",,
461894,"Agenti e rappresentanti di saponi, detersivi, candele e prodotti simili",,
461895,Agenti e rappresentanti di giocattoli,,
461896,Agenti e rappresentanti di chincaglieria e bigiotteria,,
461897,"Agenti e rappresentanti di altri prodotti non alimentari nca (inclusi gli imballaggi e gli articoli antinfortunistici, antincendio e pubblicitari)",,
461898,"Procacciatori d'affari di attrezzature sportive, biciclette e altri prodotti nca",,
461899,"Mediatori in attrezzature sportive, biciclette e altri prodotti nca",,
4619,Intermediari del commercio di vari prodotti senza prevalenza di alcuno,,
46190,Intermediari del commercio di vari prodotti senza prevalenza di alcuno,,
461901,Agenti e rappresentanti di vari prodotti senza prevalenza di alcuno,,
461902,Procacciatori d'affari di vari prodotti senza prevalenza di alcuno,,
461903,Mediatori in vari prodotti senza prevalenza di alcuno,,
461904,Gruppi di acquisto; mandatari agli acquisti; buyer,,
462,COMMERCIO ALL'INGROSSO DI MATERIE PRIME AGRICOLE E DI ANIMALI VIVI,,
4621,"Commercio all'ingrosso di cereali, tabacco grezzo, sementi e alimenti per il bestiame (mangimi)",,
46211,Commercio all'ingrosso di cereali e legumi secchi,,
462110,Commercio all'ingrosso di cereali e legumi secchi,,
46212,"Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi), piante officinali, semi oleosi, patate da semina, tabacco grezzo",,
462121,Commercio all'ingrosso di tabacco grezzo,,
462122,"Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi), piante officinali, semi oleosi, patate da semina",,
4622,Commercio all'ingrosso di fiori e piante,,
46220,Commercio all'ingrosso di fiori e piante,,
462200,Commercio all'ingrosso di fiori e piante,,
4623,Commercio all'ingrosso di animali vivi,,
46230,Commercio all'ingrosso di animali vivi,,
462300,Commercio all'ingrosso di animali vivi,,
4624,Commercio all'ingrosso di pelli e cuoio,,
46241,Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per pellicceria),,
462410,Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per pellicceria),,
46242,Commercio all'ingrosso di pelli gregge e lavorate per pellicceria,,
462420,Commercio all'ingrosso di pelli gregge e lavorate per pellicceria,,
463,"COMMERCIO ALL'INGROSSO DI PRODOTTI ALIMENTARI, BEVANDE E PRODOTTI DEL TABACCO",,
4631,Commercio all'ingrosso di frutta e ortaggi freschi o conservati,,
46311,Commercio all'ingrosso di frutta e ortaggi freschi,,
463110,Commercio all'ingrosso di frutta e ortaggi freschi,,
46312,Commercio all'ingrosso di frutta e ortaggi conservati,,
463120,Commercio all'ingrosso di frutta e ortaggi conservati,,
4632,Commercio all'ingrosso di carne e di prodotti a base di carne,,
46321,"Commercio all'ingrosso di carne fresca, congelata e surgelata",,
463210,"Commercio all'ingrosso di carne fresca, congelata e surgelata",,
46322,Commercio all'ingrosso di prodotti di salumeria,,
463220,Commercio all'ingrosso di prodotti di salumeria,,
4633,"Commercio all'ingrosso di prodotti lattiero-caseari, uova, oli e grassi commestibili",,
46331,Commercio all'ingrosso di prodotti lattiero-caseari e di uova,,
463310,Commercio all'ingrosso di prodotti lattiero-caseari e di uova,,
46332,Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale,,
463320,Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale,,
4634,Commercio all'ingrosso di bevande,,
46341,Commercio all'ingrosso di bevande alcoliche,,
463410,Commercio all'ingrosso di bevande alcoliche,,
46342,Commercio all'ingrosso di bevande non alcoliche,,
463420,Commercio all'ingrosso di bevande non alcoliche,,
4635,Commercio all'ingrosso di prodotti del tabacco ,,
46350,Commercio all'ingrosso di prodotti del tabacco,,
463500,Commercio all'ingrosso di prodotti del tabacco,,
4636,"Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno",,
46360,"Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno",,
463600,"Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno",,
4637,"Commercio all'ingrosso di caffè, tè, cacao e spezie",,
46370,"Commercio all'ingrosso di caffè, tè, cacao e spezie",,
463701,Commercio all'ingrosso di caffè,,
463702,"Commercio all'ingrosso di tè, cacao e spezie",,
4638,"Commercio all'ingrosso di altri prodotti alimentari, inclusi pesci, crostacei e molluschi",,
46381,Commercio all'ingrosso di prodotti della pesca freschi,,
463810,Commercio all'ingrosso di prodotti della pesca freschi,,
46382,"Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, secchi",,
463820,"Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, secchi",,
46383,Commercio all'ingrosso di pasti e piatti pronti,,
463830,Commercio all'ingrosso di pasti e piatti pronti,,
46389,Commercio all'ingrosso di altri prodotti alimentari,,
463890,Commercio all'ingrosso di altri prodotti alimentari,,
4639,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacco",,
46391,Commercio all'ingrosso non specializzato di prodotti surgelati,,
463910,Commercio all'ingrosso non specializzato di prodotti surgelati,,
46392,"Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco",,
463920,"Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco",,
464,COMMERCIO ALL'INGROSSO DI BENI DI CONSUMO FINALE,,
4641,Commercio all'ingrosso di prodotti tessili,,
46411,Commercio all'ingrosso di tessuti,,
464110,Commercio all'ingrosso di tessuti,,
46412,"Commercio all'ingrosso di articoli di merceria, filati e passamaneria",,
464120,"Commercio all'ingrosso di articoli di merceria, filati e passamaneria",,
46419,Commercio all'ingrosso di altri articoli tessili,,
464190,Commercio all'ingrosso di altri articoli tessili,,
4642,Commercio all'ingrosso di abbigliamento e di calzature,,
46421,Commercio all'ingrosso di abbigliamento e accessori,,
464210,Commercio all'ingrosso di abbigliamento e accessori,,
46422,Commercio all'ingrosso di articoli in pelliccia,,
464220,Commercio all'ingrosso di articoli in pelliccia,,
46423,"Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili",,
464230,"Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili",,
46424,Commercio all'ingrosso di calzature e accessori,,
464240,Commercio all'ingrosso di calzature e accessori,,
4643,"Commercio all'ingrosso di elettrodomestici, elettronica di consumo audio e video; articoli per fotografia, cinematografia e ottica",,
46431,"Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video",,
464310,"Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video",,
46432,"Commercio all'ingrosso di supporti registrati, audio, video (Cd, Dvd e altri supporti)",,
464320,"Commercio all'ingrosso di supporti registrati, audio, video (Cd, Dvd e altri supporti)",,
46433,"Commercio all'ingrosso di articoli per fotografia, cinematografia e ottica",,
464330,"Commercio all'ingrosso di articoli per fotografia, cinematografia e ottica",,
4644,"Commercio all'ingrosso di articoli di porcellana, di vetro e di prodotti per la pulizia",,
46441,Commercio all'ingrosso di vetreria e cristalleria,,
464410,Commercio all'ingrosso di vetreria e cristalleria,,
46442,Commercio all'ingrosso di ceramiche e porcellana,,
464420,Commercio all'ingrosso di ceramiche e porcellana,,
46443,"Commercio all'ingrosso di saponi, detersivi e altri prodotti per la pulizia",,
464430,"Commercio all'ingrosso di saponi, detersivi e altri prodotti per la pulizia",,
46444,"Commercio all'ingrosso di coltelleria, posateria e pentolame",,
464440,"Commercio all'ingrosso di coltelleria, posateria e pentolame",,
4645,Commercio all'ingrosso di profumi e cosmetici,,
46450,Commercio all'ingrosso di profumi e cosmetici,,
464500,Commercio all'ingrosso di profumi e cosmetici,,
4646,Commercio all'ingrosso di prodotti farmaceutici,,
46461,Commercio all'ingrosso di medicinali,,
464610,Commercio all'ingrosso di medicinali,,
46462,Commercio all'ingrosso di prodotti botanici per uso farmaceutico,,
464620,Commercio all'ingrosso di prodotti botanici per uso farmaceutico,,
46463,Commercio all'ingrosso di articoli medicali ed ortopedici,,
464630,Commercio all'ingrosso di articoli medicali ed ortopedici,,
4647,"Commercio all'ingrosso di mobili, tappeti e articoli per l'illuminazione",,
46471,Commercio all'ingrosso di mobili di qualsiasi materiale,,
464710,Commercio all'ingrosso di mobili di qualsiasi materiale,,
46472,Commercio all'ingrosso di tappeti,,
464720,Commercio all'ingrosso di tappeti,,
46473,Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico,,
464730,Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico,,
4648,Commercio all'ingrosso di orologi e di gioielleria,,
46480,Commercio all'ingrosso di orologi e di gioielleria,,
464800,Commercio all'ingrosso di orologi e di gioielleria,,
4649,Commercio all'ingrosso di altri beni di consumo,,
46491,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria",,
464910,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria",,
46492,"Commercio all'ingrosso di libri, riviste e giornali",,
464920,"Commercio all'ingrosso di libri, riviste e giornali",,
46493,Commercio all'ingrosso di giochi e giocattoli,,
464930,Commercio all'ingrosso di giochi e giocattoli,,
46494,Commercio all'ingrosso di articoli sportivi (incluse le biciclette),,
464940,Commercio all'ingrosso di articoli sportivi (incluse le biciclette),,
46495,Commercio all'ingrosso di articoli in pelle; articoli da viaggio in qualsiasi materiale,,
464950,Commercio all'ingrosso di articoli in pelle; articoli da viaggio in qualsiasi materiale,,
46499,Commercio all'ingrosso di vari prodotti di consumo non alimentare nca,,
464990,Commercio all'ingrosso di vari prodotti di consumo non alimentare nca,,
465,COMMERCIO ALL'INGROSSO DI APPARECCHIATURE ICT,,
4651,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",,
46510,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",,
465100,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",,
4652,Commercio all'ingrosso di apparecchiature elettroniche per telecomunicazioni e componenti elettronici ,,
46520,Commercio all'ingrosso apparecchiature elettroniche per telecomunicazioni e componenti elettronici,,
465201,Commercio all'ingrosso di apparecchi e materiali telefonici,,
465202,Commercio all'ingrosso di nastri non registrati,,
465209,Commercio all'ingrosso di altre apparecchiature elettroniche per telecomunicazioni e di altri componenti elettronici,,
466,"COMMERCIO ALL'INGROSSO DI ALTRI MACCHINARI, ATTREZZATURE E FORNITURE",,
4661,"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole",,
46610,"Commercio all'ingrosso di macchine, accessori e utensili agricoli, inclusi i trattori",,
466100,"Commercio all'ingrosso di macchine, accessori e utensili agricoli, inclusi i trattori",,
4662,Commercio all'ingrosso di macchine utensili,,
46620,Commercio all'ingrosso di macchine utensili (incluse le relative parti intercambiabili),,
466200,Commercio all'ingrosso di macchine utensili (incluse le relative parti intercambiabili),,
4663,"Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile",,
46630,"Commercio all'ingrosso di macchine per le miniere, l'edilizia e l'ingegneria civile",,
466300,"Commercio all'ingrosso di macchine per le miniere, l'edilizia e l'ingegneria civile",,
4664,"Commercio all'ingrosso di macchinari per l'industria tessile, di macchine per cucire e per maglieria",,
46640,"Commercio all'ingrosso di macchine per l'industria tessile, di macchine per cucire e per maglieria",,
466400,"Commercio all'ingrosso di macchine per l'industria tessile, di macchine per cucire e per maglieria",,
4665,Commercio all'ingrosso di mobili per ufficio e negozi,,
46650,Commercio all'ingrosso di mobili per ufficio e negozi,,
466500,Commercio all'ingrosso di mobili per ufficio e negozi,,
4666,Commercio all'ingrosso di altre macchine e attrezzature per ufficio,,
46660,Commercio all'ingrosso di altre macchine e attrezzature per ufficio,,
466600,Commercio all'ingrosso di altre macchine e attrezzature per ufficio,,
4669,Commercio all'ingrosso di altri macchinari e attrezzature,,
46691,Commercio all'ingrosso di mezzi ed attrezzature di trasporto,,
466911,Commercio all'ingrosso di imbarcazioni da diporto,,
466919,Commercio all'ingrosso di altri mezzi ed attrezzature di trasporto,,
46692,Commercio all'ingrosso di materiale elettrico per impianti di uso industriale,,
466920,Commercio all'ingrosso di materiale elettrico per impianti di uso industriale,,
46693,"Commercio all'ingrosso di apparecchiature per parrucchieri, palestre, solarium e centri estetici",,
466930,"Commercio all'ingrosso di apparecchiature per parrucchieri, palestre, solarium e centri estetici",,
46699,"Commercio all'ingrosso di altre macchine e attrezzature per l'industria, il commercio e la navigazione",,
466991,Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso scientifico,,
466992,Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso non scientifico,,
466993,Commercio all'ingrosso di giochi per luna-park e videogiochi per pubblici esercizi,,
466994,Commercio all'ingrosso di articoli antincendio e antinfortunistici,,
466999,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",,
467,COMMERCIO ALL'INGROSSO SPECIALIZZATO DI ALTRI PRODOTTI,,
4671,"Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati",,
46710,"Commercio all'ingrosso di prodotti petroliferi e lubrificanti per autotrazione, di combustibili per riscaldamento",,
467100,"Commercio all'ingrosso di prodotti petroliferi e lubrificanti per autotrazione, di combustibili per riscaldamento",,
4672,Commercio all'ingrosso di metalli e di minerali metalliferi,,
46721,"Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati",,
467210,"Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati",,
46722,Commercio all'ingrosso di metalli non ferrosi e prodotti semilavorati,,
467220,Commercio all'ingrosso di metalli non ferrosi e prodotti semilavorati,,
4673,"Commercio all'ingrosso di legname e di materiali da costruzione, apparecchi igienico-sanitari, vetro piano, vernici e colori",,
46731,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale",,
467310,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale",,
46732,Commercio all'ingrosso di materiali da costruzione (inclusi gli apparecchi igienico-sanitari),,
467321,Commercio all'ingrosso di moquette e linoleum,,
467322,Commercio all'ingrosso di altri materiali per rivestimenti (inclusi gli apparecchi igienico-sanitari),,
467323,Commercio all'ingrosso di infissi,,
467329,Commercio all'ingrosso di altri materiali da costruzione,,
46733,Commercio all'ingrosso di vetro piano,,
467330,Commercio all'ingrosso di vetro piano,,
46734,"Commercio all'ingrosso di carta da parati, colori e vernici",,
467340,"Commercio all'ingrosso di carta da parati, colori e vernici",,
4674,"Commercio all'ingrosso di ferramenta, di apparecchi e accessori per impianti idraulici e di riscaldamento",,
46741,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),,
467410,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),,
46742,"Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento",,
467420,"Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento",,
4675,Commercio all'ingrosso di prodotti chimici,,
46750,Commercio all'ingrosso di prodotti chimici,,
467501,Commercio all'ingrosso di fertilizzanti e di altri prodotti chimici per l'agricoltura,,
467502,Commercio all'ingrosso di prodotti chimici per l'industria,,
4676,Commercio all'ingrosso di altri prodotti intermedi,,
46761,Commercio all'ingrosso di fibre tessili gregge e semilavorate,,
467610,Commercio all'ingrosso di fibre tessili gregge e semilavorate,,
46762,"Commercio all'ingrosso di gomma greggia, materie plastiche in forme primarie e semilavorati",,
467620,"Commercio all'ingrosso di gomma greggia, materie plastiche in forme primarie e semilavorati",,
46763,Commercio all'ingrosso di imballaggi,,
467630,Commercio all'ingrosso di imballaggi,,
46769,Commercio all'ingrosso di altri prodotti intermedi nca,,
467690,Commercio all'ingrosso di altri prodotti intermedi nca,,
4677,Commercio all'ingrosso di rottami e cascami,,
46771,Commercio all'ingrosso di rottami e sottoprodotti della lavorazione industriale metallici,,
467710,Commercio all'ingrosso di rottami e sottoprodotti della lavorazione industriale metallici,,
46772,"Commercio all'ingrosso di altri materiali di recupero non metallici (vetro, carta, cartoni eccetera); sottoprodotti non metallici della lavorazione industriale (cascami)",,
467720,"Commercio all'ingrosso di altri materiali di recupero non metallici (vetro, carta, cartoni eccetera); sottoprodotti non metallici della lavorazione industriale (cascami)",,
469,COMMERCIO ALL'INGROSSO NON SPECIALIZZATO,,
4690,Commercio all'ingrosso non specializzato,,
46900,Commercio all'ingrosso non specializzato,,
469000,Commercio all'ingrosso non specializzato,,
47,COMMERCIO AL DETTAGLIO (ESCLUSO QUELLO DI AUTOVEICOLI E DI MOTOCICLI),,
471,COMMERCIO AL DETTAGLIO IN ESERCIZI NON SPECIALIZZATI,,
4711,Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti alimentari e bevande,,
47111,Ipermercati,,
471110,Ipermercati,,
47112,Supermercati,,
471120,Supermercati,,
47113,Discount di alimentari,,
471130,Discount di alimentari,,
47114,Minimercati ed altri esercizi non specializzati di alimentari vari,,
471140,Minimercati ed altri esercizi non specializzati di alimentari vari,,
47115,Commercio al dettaglio di prodotti surgelati,,
471150,Commercio al dettaglio di prodotti surgelati,,
4719,Commercio al dettaglio in altri esercizi non specializzati,,
47191,Grandi magazzini,,
471910,Grandi magazzini,,
47192,"Commercio al dettaglio in esercizi non specializzati di computer, periferiche, attrezzature per le telecomunicazioni, elettronica di consumo audio e video, elettrodomestici",,
471920,"Commercio al dettaglio in esercizi non specializzati di computer, periferiche, attrezzature per le telecomunicazioni, elettronica di consumo audio e video, elettrodomestici",,
47199,Empori ed altri negozi non specializzati di vari prodotti non alimentari,,
471990,Empori ed altri negozi non specializzati di vari prodotti non alimentari,,
472,"COMMERCIO AL DETTAGLIO DI PRODOTTI ALIMENTARI, BEVANDE E TABACCO IN ESERCIZI SPECIALIZZATI",,
4721,Commercio al dettaglio di frutta e verdura in esercizi specializzati,,
47210,Commercio al dettaglio di frutta e verdura,,
472101,Commercio al dettaglio di frutta e verdura fresca,,
472102,Commercio al dettaglio di frutta e verdura preparata e conservata,,
4722,Commercio al dettaglio di carni e di prodotti a base di carne in esercizi specializzati,,
47220,Commercio al dettaglio di carni e di prodotti a base di carne,,
472200,Commercio al dettaglio di carni e di prodotti a base di carne,,
4723,"Commercio al dettaglio di pesci, crostacei e molluschi in esercizi specializzati",,
47230,"Commercio al dettaglio di pesci, crostacei e molluschi",,
472300,"Commercio al dettaglio di pesci, crostacei e molluschi",,
4724,"Commercio al dettaglio di pane, torte, dolciumi e confetteria in esercizi specializzati",,
47241,Commercio al dettaglio di pane,,
472410,Commercio al dettaglio di pane,,
47242,"Commercio al dettaglio di torte, dolciumi, confetteria",,
472420,"Commercio al dettaglio di torte, dolciumi, confetteria",,
4725,Commercio al dettaglio di bevande in esercizi specializzati,,
47250,Commercio al dettaglio di bevande,,
472500,Commercio al dettaglio di bevande,,
4726,Commercio al dettaglio di prodotti del tabacco in esercizi specializzati,,
47260,Commercio al dettaglio di generi di monopolio (tabaccherie),,
472600,Commercio al dettaglio di generi di monopolio (tabaccherie),,
4729,Commercio al dettaglio di altri prodotti alimentari in esercizi specializzati,,
47291,Commercio al dettaglio di latte e di prodotti lattiero-caseari,,
472910,Commercio al dettaglio di latte e di prodotti lattiero-caseari,,
47292,Commercio al dettaglio di caffè torrefatto,,
472920,Commercio al dettaglio di caffè torrefatto,,
47293,Commercio al dettaglio di prodotti macrobiotici e dietetici,,
472930,Commercio al dettaglio di prodotti macrobiotici e dietetici,,
47299,Commercio al dettaglio di altri prodotti alimentari in esercizi specializzati nca,,
472990,Commercio al dettaglio di altri prodotti alimentari in esercizi specializzati nca,,
473,COMMERCIO AL DETTAGLIO DI CARBURANTE PER AUTOTRAZIONE IN ESERCIZI SPECIALIZZATI,,
4730,Commercio al dettaglio di carburante per autotrazione in esercizi specializzati,,
47300,Commercio al dettaglio di carburante per autotrazione,,
473000,Commercio al dettaglio di carburante per autotrazione,,
474,COMMERCIO AL DETTAGLIO DI APPARECCHIATURE INFORMATICHE E PER LE TELECOMUNICAZIONI (ICT) IN ESERCIZI SPECIALIZZATI,,
4741,"Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in esercizi specializzati",,
47410,"Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in esercizi specializzati",,
474100,"Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in esercizi specializzati",,
4742,Commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati,,
47420,Commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati,,
474200,Commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati,,
4743,Commercio al dettaglio di apparecchiature audio e video in esercizi specializzati,,
47430,Commercio al dettaglio di apparecchi audio e video in esercizi specializzati,,
474300,Commercio al dettaglio di apparecchi audio e video in esercizi specializzati,,
475,COMMERCIO AL DETTAGLIO DI ALTRI PRODOTTI PER USO DOMESTICO IN ESERCIZI SPECIALIZZATI,,
4751,Commercio al dettaglio di prodotti tessili in esercizi specializzati,,
47511,"Commercio al dettaglio di tessuti per l'abbigliamento, l'arredamento e di biancheria per la casa",,
475110,"Commercio al dettaglio di tessuti per l'abbigliamento, l'arredamento e di biancheria per la casa",,
47512,Commercio al dettaglio di filati per maglieria e merceria,,
475120,Commercio al dettaglio di filati per maglieria e merceria,,
4752,"Commercio al dettaglio di ferramenta, vernici, vetro piano e materiali da costruzione in esercizi specializzati",,
47521,"Commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulico",,
475210,"Commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulico",,
47522,Commercio al dettaglio di articoli igienico-sanitari,,
475220,Commercio al dettaglio di articoli igienico-sanitari,,
47523,"Commercio al dettaglio di materiali da costruzione, ceramiche e piastrelle",,
475230,"Commercio al dettaglio di materiali da costruzione, ceramiche e piastrelle",,
47524,"Commercio al dettaglio di macchine, attrezzature e prodotti per l'agricoltura; macchine e attrezzature per il giardinaggio",,
475240,"Commercio al dettaglio di macchine, attrezzature e prodotti per l'agricoltura; macchine e attrezzature per il giardinaggio",,
4753,"Commercio al dettaglio di tappeti, scendiletto e rivestimenti per pavimenti e pareti (moquette, linoleum) in esercizi specializzati",,
47531,"Commercio al dettaglio di tappeti, tende e tendine",,
475311,Commercio al dettaglio di tende e tendine,,
475312,Commercio al dettaglio di tappeti,,
47532,Commercio al dettaglio di carta da parati e rivestimenti per pavimenti (moquette e linoleum),,
475320,Commercio al dettaglio di carta da parati e rivestimenti per pavimenti (moquette e linoleum),,
4754,Commercio al dettaglio di elettrodomestici in esercizi specializzati,,
47540,Commercio al dettaglio di elettrodomestici in esercizi specializzati,,
475400,Commercio al dettaglio di elettrodomestici in esercizi specializzati,,
4759,"Commercio al dettaglio di mobili, di articoli per l'illuminazione e altri articoli per la casa in esercizi specializzati",,
47591,Commercio al dettaglio di mobili per la casa,,
475910,Commercio al dettaglio di mobili per la casa,,
47592,"Commercio al dettaglio di utensili per la casa, di cristallerie e vasellame",,
475920,"Commercio al dettaglio di utensili per la casa, di cristallerie e vasellame",,
47593,Commercio al dettaglio di articoli per l'illuminazione,,
475930,Commercio al dettaglio di articoli per l'illuminazione,,
47594,Commercio al dettaglio di macchine per cucire e per maglieria per uso domestico,,
475940,Commercio al dettaglio di macchine per cucire e per maglieria per uso domestico,,
47595,Commercio al dettaglio di sistemi di sicurezza,,
475950,Commercio al dettaglio di sistemi di sicurezza,,
47596,Commercio al dettaglio di strumenti musicali e spartiti,,
475960,Commercio al dettaglio di strumenti musicali e spartiti,,
47599,Commercio al dettaglio di altri articoli diversi per uso domestico nca,,
